test_id,n_points,n_pairs,best_val,test_accuracy,dpo_steps,baseline_steps,delta_steps
A1_random,6000,200000,0.026503889066980608,0.9641,28.0,29,1.0
A2.1_hybrid_sampling,3060,200000,0.028397826183162913,0.9565,35.0,29,-6.0
A2_balanced_degree,6040,200000,0.028078027493968795,0.9584,33.0,29,-4.0
A3_corridor_heavy,6800,200000,0.023446160857860422,0.9691,28.0,29,1.0
A4_goal_biased,6440,200000,0.027870086528643777,0.9621,29.0,29,0.0
A5_wall_band,7540,200000,0.026390138813117636,0.9626,29.0,29,0.0
A6_uniform_grid,5184,200000,0.021174966369437265,0.9707,31.0,29,-2.0
B1_deg_strong,4080,200000,0.03979546326813819,0.9365,30.0,29,-1.0
B2_goal_strong,4080,200000,0.02285649231340312,0.9691,,29,
B3.1_efficient_safety,4080,200000,0.09480667859315872,0.8498,,29,
B3_wide_space,4080,200000,0.07817084700623646,0.8867,,29,
B4_path_strong,4080,200000,0.05190735053318211,0.9143,,29,
B5_gate_strong,4080,200000,0.03995924733013292,0.9413,,29,
C1_easy_pairs,4080,120000,0.017878554414640715,0.9675,27.0,29,2.0
C2_hard_pairs,4080,200000,0.07971482662649094,0.8716,29.0,29,0.0
C3_very_hard_diverse_deg,4080,160020,0.167658636257762,0.6874140732408449,34.0,29,-5.0
C4_mixed_difficulty,4080,200000,0.016135685263743885,0.9728,28.0,29,1.0
D1_small_net,4080,200000,0.05566927392177189,0.91,36.0,29,-7.0
D2_dropout_heavy,4080,200000,0.043037928027819985,0.9323,28.0,29,1.0
D3_more_epochs,4080,200000,0.02521254788329707,0.9645,31.0,29,-2.0
E1_linear_fading,6130,200000,0.024398273151792303,0.9665,33.0,29,-4.0
E2_exp_fading,6130,200000,0.01828730951027968,0.9714,,29,
E3_cutoff_80,6130,200000,0.022704332506967875,0.9663,34.0,29,-5.0
F1_noise_10pct,4080,200000,0.09716969700176505,0.871,32.0,29,-3.0
F2_noise_25pct,4080,200000,0.1389784974199307,0.7647,,29,
G1_tube_sampling,4130,200000,0.020750989701268794,0.967,31.0,29,-2.0
H1_quantized_score,6130,80000,0.06872232316527516,0.85225,,29,
I1_oracle_drift,4080,200000,0.013463712450635584,0.993,,29,
O1_ood_goal,4080,200000,0.02521254788329707,0.9645,30.0,29,-1.0
